numstage,3,,,3,,,"Values of effect matrix aren't greater than deathrates, growthrate, reproduce rate",
,seeding,sapling,adult,seeding,sapling,adult,,
deathrates,0.65,0.61,0.00,0.50,0.05,0.00,,
growthrates,8.00,0.23,0.00,7.00,0.70,0.00,,
reproducerates,0.00,0.00,0.40,0.00,0.00,0.40,,
,,,,,,,,
dispersalradius,8.00,0.00,0.00,0.00,0.00,0.00,,
radius (meters),0.00,1.00,2.26,0.00,1.00,2.55,,
,,,,,,,,
init,30.00,15.00,13.00,20.00,12.00,4.00,,
,,,,,,,,
D,R. apiculata,,,A. officinalis,,,,
effect,seeding,sapling,adult,seeding,sapling,adult,,
seeding,-0.10,-0.10,0.00,0.00,0.00,0.00,R. apiculata,over seeds
sapling,0.00,-0.10,-0.04,0.00,-0.15,0.70,,over sapling (competition and facilitation)
adult,0.00,0.00,-0.15,0.00,0.00,-0.20,,over adults (competition with adults)
seeding,0.00,0.00,0.00,0.00,0.00,0.00,A. officinalis,
sapling,0.00,-0.50,-0.70,0.00,-0.20,-0.05,,
adult,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,,,,
R,R. apiculata,,,A. officinalis,,,,
effect,seeding,sapling,adult,seeding,sapling,adult,,
seeding,0.00,0.00,0.00,0.00,0.00,0.00,R. apiculata,over seeds
sapling,0.00,0.00,0.00,0.00,0.00,0.00,,over sapling (competition and facilitation)
adult,0.00,0.00,0.00,0.00,0.00,0.00,,over adults (competition with adults)
seeding,0.00,0.00,0.00,0.00,0.00,0.00,A. officinalis,
sapling,0.00,0.00,0.00,0.00,0.00,0.00,,
adult,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,,,,
G,R. apiculata,,,A. officinalis,,,,
effect,seeding,sapling,adult,seeding,sapling,adult,,
seeding,0.00,0.00,0.00,0.00,0.00,0.00,R. apiculata,over seeds
sapling,0.00,0.00,0.00,0.00,0.00,0.00,,over sapling (competition and facilitation)
adult,0.00,0.00,0.00,0.00,0.00,0.00,,over adults (competition with adults)
seeding,0.00,0.00,0.00,0.00,0.00,0.00,A. officinalis,
sapling,0.00,0.00,0.00,0.00,0.00,0.00,,
adult,0.00,0.00,0.00,0.00,0.00,0.00,,
